City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Beira,MZ,-19.84,34.84,64.4,100,40,4.7,fog
249,Manadhoo,MV,5.77,73.38,82.56,67,53,6.11,broken clouds
250,Candolim,IN,15.52,73.76,78.8,88,75,13.87,drizzle
251,Urumqi,CN,43.8,87.6,75.2,41,98,2.24,light rain
252,Shubarshi,KZ,48.59,57.19,61.65,46,0,10.22,clear sky
253,Peniche,PT,39.36,-9.38,70.0,90,23,5.01,few clouds
254,Aswan,EG,24.09,32.91,84.11,29,0,9.6,clear sky
255,Beloha,MG,-25.17,45.05,64.8,65,0,8.25,clear sky
256,Sao Joao Da Barra,BR,-21.64,-41.05,72.75,82,0,21.79,clear sky
257,Darhan,MN,49.49,105.92,68.97,58,46,12.37,scattered clouds
258,Gizo,SB,-8.1,156.84,82.04,76,36,4.16,light rain
259,Diffa,NE,13.32,12.61,79.7,58,83,7.63,broken clouds
260,Chiang Klang,TH,19.29,100.86,78.8,83,75,2.24,broken clouds
261,Vila,PT,42.03,-8.16,63.0,87,96,5.99,overcast clouds
262,Salym,RU,60.06,71.48,61.68,72,61,5.73,broken clouds
263,Iwanai,JP,42.97,140.51,81.93,66,2,8.41,clear sky
264,Padang,ID,-0.95,100.35,85.66,61,88,3.8,overcast clouds
265,Upernavik,GL,72.79,-56.15,46.87,67,100,7.47,overcast clouds
266,Oistins,BB,13.07,-59.53,82.4,78,40,18.34,scattered clouds
267,Shumyachi,RU,53.86,32.42,59.13,95,99,5.44,light rain
268,Lovozero,RU,68.0,35.01,51.26,68,71,1.74,broken clouds
269,Kamenka,RU,51.32,42.77,62.01,74,76,1.99,broken clouds
270,Kahului,US,20.89,-156.47,82.4,58,40,18.34,scattered clouds
271,Fez,MA,34.04,-5.0,71.6,64,0,2.24,clear sky
272,Coari,BR,-4.08,-63.14,78.93,63,5,2.62,clear sky
273,Wanning,CN,18.8,110.4,86.67,71,100,7.76,light rain
274,Stara Vyzhivka,UA,51.44,24.44,60.78,91,35,4.21,scattered clouds
275,Mogadishu,SO,2.04,45.34,77.27,83,93,15.43,light rain
276,Carthage,TN,36.86,10.33,75.2,73,80,3.36,broken clouds
277,Pacific Grove,US,36.62,-121.92,69.8,60,90,4.7,smoke
278,Ellensburg,US,47.0,-120.55,75.99,43,1,16.11,clear sky
279,Mahebourg,MU,-20.41,57.7,73.4,69,40,13.87,scattered clouds
280,Rajshahi,BD,24.37,88.6,84.25,81,48,12.71,scattered clouds
281,Santa Cruz,BO,-17.8,-63.17,73.4,88,75,5.82,broken clouds
282,Tshikapa,CD,-6.42,20.8,78.39,52,85,3.94,overcast clouds
283,Antofagasta,CL,-23.65,-70.4,55.4,71,40,10.29,scattered clouds
284,Mugur-Aksy,RU,50.35,90.5,56.03,53,96,5.26,overcast clouds
285,Ponta Do Sol,PT,32.67,-17.1,69.8,77,20,4.7,few clouds
286,Namibe,AO,-15.2,12.15,60.73,81,0,6.33,clear sky
287,Katangli,RU,51.71,143.23,63.54,68,58,15.95,broken clouds
288,La Paz,BO,-16.5,-68.15,32.0,64,75,2.24,broken clouds
289,La Ronge,CA,55.1,-105.28,66.2,82,20,10.29,few clouds
290,Tamiahua,MX,21.27,-97.45,78.87,84,90,4.97,overcast clouds
291,Novoanninskiy,RU,50.53,42.67,64.99,69,80,1.99,broken clouds
292,Longyearbyen,SJ,78.22,15.64,41.0,86,75,14.99,light intensity shower rain
293,Mehran,IR,33.12,46.16,75.2,22,0,4.7,clear sky
294,Isangel,VU,-19.55,169.27,78.8,65,40,8.05,scattered clouds
295,Lompoc,US,34.64,-120.46,66.99,77,1,5.82,clear sky
296,Ahipara,NZ,-35.17,173.17,60.12,83,7,11.92,clear sky
297,Port-Gentil,GA,-0.72,8.78,75.78,87,100,14.85,overcast clouds
298,Lynchburg,US,37.41,-79.14,71.6,83,20,0.65,few clouds
299,Bouna,CI,9.27,-3.0,70.86,96,95,5.99,overcast clouds
300,Worthington,US,40.09,-83.02,63.0,72,1,5.82,clear sky
301,Gamboma,CG,-1.88,15.86,76.32,79,75,4.74,broken clouds
302,Shingu,JP,33.73,135.98,89.6,62,40,6.93,scattered clouds
303,Pascagoula,US,30.37,-88.56,78.8,83,90,8.05,thunderstorm with rain
304,Roald,NO,62.58,6.13,61.0,93,54,5.82,broken clouds
305,Solvychegodsk,RU,61.33,46.92,46.9,75,29,10.25,scattered clouds
306,Hirara,JP,24.8,125.28,89.6,79,40,12.75,shower rain
307,Korla,CN,41.76,86.15,87.96,18,83,12.1,broken clouds
308,Quatre Cocos,MU,-20.21,57.76,73.4,69,40,13.87,scattered clouds
309,Taitung,TW,22.76,121.14,89.6,70,40,10.29,shower rain
310,Puerto Lempira,HN,15.27,-83.77,79.84,84,100,3.85,overcast clouds
311,Ruteng,ID,-8.61,120.47,70.9,75,66,2.13,light rain
312,Xunchang,CN,28.45,104.72,83.98,51,99,0.87,overcast clouds
313,Khani,GE,41.96,42.96,66.2,100,90,2.24,fog
314,Eshowe,ZA,-28.89,31.47,44.65,68,0,5.32,clear sky
315,Miraflores,MX,19.22,-98.81,64.4,63,75,6.93,broken clouds
316,Saint-Paul,RE,-21.01,55.27,71.6,64,21,16.11,few clouds
317,Angoram,PG,-4.06,144.07,93.22,47,17,4.12,few clouds
318,Mount Gambier,AU,-37.83,140.77,51.8,81,75,18.34,light intensity shower rain
319,Tilichiki,RU,60.47,166.1,56.64,62,100,13.13,overcast clouds
320,Olhao,PT,37.03,-7.84,69.8,68,0,4.7,clear sky
321,Ryomgard,DK,56.38,10.5,61.0,100,90,3.36,fog
