City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Sines,PT,2020-08-17 04:48:29,37.96,-8.87,66.0,92,41,1.99
143,Comodoro Rivadavia,AR,2020-08-17 04:48:12,-45.87,-67.5,44.6,48,6,24.16
144,Novopokrovka,UA,2020-08-17 04:48:29,49.84,36.55,62.01,72,0,6.71
145,Puerto Ayora,EC,2020-08-17 04:48:29,-0.74,-90.35,64.0,90,21,6.71
146,Leningradskiy,RU,2020-08-17 04:48:30,69.38,178.42,45.34,91,100,4.59
147,Chegdomyn,RU,2020-08-17 04:48:30,51.12,133.02,69.64,66,99,2.53
148,Kilcock,IE,2020-08-17 04:48:30,53.4,-6.67,59.0,100,90,5.82
149,Tiksi,RU,2020-08-17 04:48:31,71.69,128.87,51.69,58,41,7.02
150,Mustasaari,FI,2020-08-17 04:48:31,63.11,21.68,54.0,93,21,1.12
151,Boyolangu,ID,2020-08-17 04:48:33,-8.12,111.89,81.55,71,54,11.12
152,Boende,CD,2020-08-17 04:48:33,-0.22,20.87,72.54,96,98,3.2
153,Celestun,MX,2020-08-17 04:48:34,20.87,-90.4,80.51,81,68,10.27
154,Acapulco,MX,2020-08-17 04:44:18,16.86,-99.89,80.65,81,100,10.4
155,Berdigestyakh,RU,2020-08-17 04:48:34,62.1,126.7,59.72,43,93,6.11
156,Iroquois Falls,CA,2020-08-17 04:48:35,48.77,-80.68,57.2,93,90,3.36
157,Ahipara,NZ,2020-08-17 04:48:35,-35.17,173.17,56.32,72,100,15.26
158,Narsaq,GL,2020-08-17 04:48:36,60.92,-46.05,46.4,70,0,4.7
159,Winsum,NL,2020-08-17 04:45:16,53.33,6.52,66.99,100,100,3.36
160,Bethel,US,2020-08-17 04:48:36,41.37,-73.41,64.4,82,75,4.7
161,Kazanskoye,RU,2020-08-17 04:48:36,55.64,69.23,65.19,64,82,6.17
162,Serra Talhada,BR,2020-08-17 04:48:37,-7.99,-38.3,67.51,84,5,10.04
163,Ridgecrest,US,2020-08-17 04:45:20,35.62,-117.67,98.6,18,1,4.7
164,Praia,CV,2020-08-17 04:48:37,14.92,-23.51,78.8,78,20,8.05
165,Shishou,CN,2020-08-17 04:48:38,29.72,112.42,91.0,65,0,9.04
166,Fairbanks,US,2020-08-17 04:44:44,64.84,-147.72,68.0,42,40,8.05
167,Kavaratti,IN,2020-08-17 04:48:38,10.57,72.64,82.13,79,91,13.8
168,Tambo,PE,2020-08-17 04:48:39,-14.8,-73.92,32.4,88,8,3.02
169,Avera,US,2020-08-17 04:48:39,33.19,-82.53,75.2,70,1,5.23
170,Henties Bay,NA,2020-08-17 04:48:39,-22.12,14.28,54.0,86,0,1.01
171,Soyaux,FR,2020-08-17 04:48:39,45.65,0.2,63.0,93,28,5.82
172,Haizhou,CN,2020-08-17 04:46:37,34.58,119.13,92.5,67,0,6.38
173,Lebu,CL,2020-08-17 04:48:40,-37.62,-73.65,46.15,84,62,6.49
174,Progreso,MX,2020-08-17 04:45:06,21.28,-89.67,80.01,83,87,7.43
175,Omboue,GA,2020-08-17 04:48:40,-1.57,9.26,74.16,87,100,6.98
176,Maldonado,UY,2020-08-17 04:48:41,-34.67,-54.92,55.4,47,0,20.8
177,Lompoc,US,2020-08-17 04:44:03,34.64,-120.46,66.0,88,1,8.05
178,Newnan,US,2020-08-17 04:44:50,33.38,-84.8,72.0,75,1,4.85
179,Adrar,MR,2020-08-17 04:48:43,20.5,-10.07,94.55,28,0,10.45
180,Lima,PE,2020-08-17 04:44:32,-12.04,-77.03,60.8,82,90,9.17
181,Eureka,US,2020-08-17 04:44:58,40.8,-124.16,60.01,100,67,0.56
182,Yulara,AU,2020-08-17 04:48:43,-25.24,130.99,80.6,30,12,13.87
183,Kikwit,CD,2020-08-17 04:48:44,-5.04,18.82,79.48,59,98,2.95
184,Birin,NP,2020-08-17 04:48:44,26.89,88.07,74.66,84,85,5.3
185,Thinadhoo,MV,2020-08-17 04:48:44,0.53,72.93,83.53,69,100,3.71
186,Kodiak,US,2020-08-17 04:48:45,57.79,-152.41,60.8,77,1,4.7
187,Necochea,AR,2020-08-17 04:44:08,-38.55,-58.74,33.01,90,12,1.01
188,Sterling,US,2020-08-17 04:46:34,39.01,-77.43,66.0,100,1,0.89
189,Mahibadhoo,MV,2020-08-17 04:48:45,3.78,72.97,82.85,69,100,1.05
190,Ancud,CL,2020-08-17 04:48:46,-41.87,-73.82,44.01,93,90,5.82
191,Fortuna,US,2020-08-17 04:47:19,40.6,-124.16,61.0,91,83,1.43
192,Mancio Lima,BR,2020-08-17 04:48:47,-7.61,-72.9,75.63,77,12,2.35
193,Oistins,BB,2020-08-17 04:48:47,13.07,-59.53,82.4,83,75,23.04
194,Sorland,NO,2020-08-17 04:48:47,67.67,12.69,48.2,81,40,9.17
195,Do Gonbadan,IR,2020-08-17 04:48:47,30.36,50.8,86.0,27,0,1.05
196,Turukhansk,RU,2020-08-17 04:48:48,65.82,87.98,69.17,42,87,10.69
197,Biak,ID,2020-08-17 04:48:48,-0.91,122.88,82.98,65,49,12.91
198,Talaya,RU,2020-08-17 04:48:48,61.38,152.75,59.0,49,98,6.35
199,Meulaboh,ID,2020-08-17 04:48:49,4.14,96.13,86.13,61,39,4.59
200,Namibe,AO,2020-08-17 04:48:49,-15.2,12.15,59.67,91,25,2.37
201,Pisco,PE,2020-08-17 04:48:49,-13.7,-76.22,60.8,82,40,4.7
202,Oktyabrskiy,RU,2020-08-17 04:48:49,54.48,53.47,53.42,89,98,8.86
203,Nemuro,JP,2020-08-17 04:45:30,43.32,145.57,80.6,74,40,10.29
204,Torbay,CA,2020-08-17 04:48:50,47.67,-52.73,57.99,71,5,14.99
205,Manaus,BR,2020-08-17 04:47:32,-3.1,-60.02,82.4,74,80,2.24
206,Nalut,LY,2020-08-17 04:48:51,30.33,10.85,78.71,36,0,12.59
207,Phuket,TH,2020-08-17 04:48:51,8.0,98.25,88.0,66,20,6.93
208,Cherskiy,RU,2020-08-17 04:44:12,68.75,161.3,47.71,61,91,14.65
209,Inuvik,CA,2020-08-17 04:48:52,68.35,-133.72,53.6,81,40,4.7
210,Duki,PK,2020-08-17 04:48:52,30.15,68.57,90.52,41,37,5.37
